student_no,full_name,email,department,section,grade,course,subject_code,semester,school_year,faculty_id
2023-0027,Student TwentySeven,student27@plv.edu.ph,Bachelor of Science in Information Technology,3-1,90,BSIT,IT-301,2nd Semester,2025-2026,prof.bsit@plv.edu.ph
2023-0028,Student TwentyEight,student28@plv.edu.ph,Bachelor of Science in Information Technology,3-1,88,BSIT,IT-301,2nd Semester,2025-2026,prof.bsit@plv.edu.ph
2023-0029,Student TwentyNine,student29@plv.edu.ph,Bachelor of Science in Information Technology,3-1,94,BSIT,IT-301,2nd Semester,2025-2026,prof.bsit@plv.edu.ph
2023-0030,Student Thirty,student30@plv.edu.ph,Bachelor of Science in Information Technology,3-1,82,BSIT,IT-301,2nd Semester,2025-2026,prof.bsit@plv.edu.ph
2023-0031,Student ThirtyOne,student31@plv.edu.ph,Bachelor of Science in Information Technology,3-1,95,BSIT,IT-301,2nd Semester,2025-2026,prof.bsit@plv.edu.ph
2023-0032,Student ThirtyTwo,student32@plv.edu.ph,Bachelor of Science in Information Technology,3-1,86,BSIT,IT-301,2nd Semester,2025-2026,prof.bsit@plv.edu.ph
2023-0033,Student ThirtyThree,student33@plv.edu.ph,Bachelor of Science in Information Technology,3-1,91,BSIT,IT-301,2nd Semester,2025-2026,prof.bsit@plv.edu.ph
2023-0034,Student ThirtyFour,student34@plv.edu.ph,Bachelor of Science in Information Technology,3-1,97,BSIT,IT-301,2nd Semester,2025-2026,prof.bsit@plv.edu.ph
2023-0035,Student ThirtyFive,student35@plv.edu.ph,Bachelor of Science in Information Technology,3-1,89,BSIT,IT-301,2nd Semester,2025-2026,prof.bsit@plv.edu.ph
2023-0036,Student ThirtySix,student36@plv.edu.ph,Bachelor of Science in Information Technology,3-1,92,BSIT,IT-301,2nd Semester,2025-2026,prof.bsit@plv.edu.ph
2023-0037,Student ThirtySeven,student37@plv.edu.ph,Bachelor of Science in Information Technology,3-1,85,BSIT,IT-301,2nd Semester,2025-2026,prof.bsit@plv.edu.ph
2023-0038,Student ThirtyEight,student38@plv.edu.ph,Bachelor of Science in Information Technology,3-1,98,BSIT,IT-301,2nd Semester,2025-2026,prof.bsit@plv.edu.ph
2023-0039,Student ThirtyNine,student39@plv.edu.ph,Bachelor of Science in Information Technology,3-1,84,BSIT,IT-301,2nd Semester,2025-2026,prof.bsit@plv.edu.ph
2023-0040,Student Forty,student40@plv.edu.ph,Bachelor of Science in Information Technology,3-1,93,BSIT,IT-301,2nd Semester,2025-2026,prof.bsit@plv.edu.ph
2023-0041,Student FortyOne,student41@plv.edu.ph,Bachelor of Science in Information Technology,3-1,88,BSIT,IT-301,2nd Semester,2025-2026,prof.bsit@plv.edu.ph
2023-0042,Student FortyTwo,student42@plv.edu.ph,Bachelor of Science in Information Technology,3-1,90,BSIT,IT-301,2nd Semester,2025-2026,prof.bsit@plv.edu.ph
2023-0043,Student FortyThree,student43@plv.edu.ph,Bachelor of Science in Information Technology,3-1,95,BSIT,IT-301,2nd Semester,2025-2026,prof.bsit@plv.edu.ph
2023-0044,Student FortyFour,student44@plv.edu.ph,Bachelor of Science in Information Technology,3-1,87,BSIT,IT-301,2nd Semester,2025-2026,prof.bsit@plv.edu.ph
2023-0045,Student FortyFive,student45@plv.edu.ph,Bachelor of Science in Information Technology,3-1,96,BSIT,IT-301,2nd Semester,2025-2026,prof.bsit@plv.edu.ph
2023-0046,Student FortySix,student46@plv.edu.ph,Bachelor of Science in Information Technology,3-1,82,BSIT,IT-301,2nd Semester,2025-2026,prof.bsit@plv.edu.ph
2023-0047,Student FortySeven,student47@plv.edu.ph,Bachelor of Science in Information Technology,3-1,91,BSIT,IT-301,2nd Semester,2025-2026,prof.bsit@plv.edu.ph
2023-0048,Student FortyEight,student48@plv.edu.ph,Bachelor of Science in Information Technology,3-1,89,BSIT,IT-301,2nd Semester,2025-2026,prof.bsit@plv.edu.ph
2023-0049,Student FortyNine,student49@plv.edu.ph,Bachelor of Science in Information Technology,3-1,94,BSIT,IT-301,2nd Semester,2025-2026,prof.bsit@plv.edu.ph
2023-0050,Student Fifty,student50@plv.edu.ph,Bachelor of Science in Information Technology,3-1,97,BSIT,IT-301,2nd Semester,2025-2026,prof.bsit@plv.edu.ph
